Project: Harmful Algal Blooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrated: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested start: 2008-08-15 18:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested end: 2016-11-28 17:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Request time: Mon, 28 Nov 2016 17:16:26 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Notes: All times provided in UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (°C)
2009,7,13,19:53:00,35.17,-120.741,0,Cal Poly Pier,0,4265,0.27,12.76,11.51,14.01,100,0,NaN,0,0.53,0.12,6694080,85302,1.82,1.72,1.93,0.16,8530,0,0,48.54,25,15.6
2009,7,16,17:55:00,35.17,-120.741,0,Cal Poly Pier,0,23458,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,4625510,4265,NaN,NaN,NaN,NaN,4265,0,0,NaN,25,15.1
2009,7,20,22:22:00,35.17,-120.741,0,Cal Poly Pier,0,2133,42.23,2.82,2.89,2.75,200,0,NaN,0,6.55,0.54,260171,4265,1.07,1.13,1.02,1.1,0,8530,0,38.84,25,15.3
2009,7,23,18:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,15994,15994,NaN,NaN,NaN,NaN,0,0,0,NaN,25,14.6
2009,7,27,18:07:00,35.17,-120.741,0,Cal Poly Pier,0,0,8.02,3.94,3.69,4.18,200,0,NaN,0,8.29,0.59,9596,17060,1.12,0.93,1.31,1.48,23458,0,3199,62.96,25,14
2009,7,30,18:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,14928,2133,NaN,NaN,NaN,NaN,0,0,0,NaN,25,13.1
2009,8,3,18:15:00,35.17,-120.741,0,Cal Poly Pier,0,4265,0.07,10.64,10.52,10.77,100,0,NaN,0,0.43,0.16,78904,40519,3.75,3.74,3.76,0.31,2133,0,21326,103.07,25,14.7
2009,8,6,17:42:00,35.17,-120.741,0,Cal Poly Pier,0,2133,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,2133,0,NaN,NaN,NaN,NaN,14928,0,8530,NaN,25,14.6
2009,8,10,21:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,3.14,3.17,3.17,3.17,200,0,NaN,0,5.38,0.29,85302,2133,1.41,1.29,1.52,0.89,0,0,0,55.84,25,14.5
2009,8,13,19:40:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,70374,8530,NaN,NaN,NaN,NaN,0,10663,0,NaN,25,14.1
2009,8,17,21:30:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.51,4,4.01,3.98,200,0,0.16,0,2.66,0.33,234581,10663,0.79,0.8,0.78,0.7,0,307088,14928,60.08,25,14.3
2009,8,20,22:40:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,57579,2133,NaN,NaN,NaN,NaN,0,76772,2133,NaN,25,14.4
2009,8,24,20:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,4.25,1.45,1.42,1.48,200,0,1.6,0,4.01,0.37,12795,2133,0.42,0.42,0.43,0.92,0,183400,31988,70.61,25,13.7
2009,8,27,22:33:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,49049,17060,NaN,NaN,NaN,NaN,0,426511,8530,NaN,25,14.3
2009,8,31,21:40:00,35.17,-120.741,0,Cal Poly Pier,0,0,3.25,2.79,2.71,2.87,200,0,2.55,0,2.95,0.28,12795,2133,0.82,0.78,0.87,0.68,0,379594,0,65.24,25,15.5
